id,name,folder_name,where_we_left,0-15,15-30,30-45,45-60,60-75,75-90,90-105,105-120,Respect for Tissue,Hemostasis,Instrument Handling,Economy of Movement,Flow,Overall,Date of Rating
1ufzUOYGpfQXn96kPWIiaR9aWcaUMwSHh,cut_VID_20220116_15.18.33_5th_trial.mp4_7324.mp4,37011615-3,,,,,,,,,,,,,,,,
1d2fMuuTaF-KZ7DUDN6PDeKEw49wJPuYz,cut_VID_20220222_16.16.26.mp4_4278.mp4,75022215-2,,,,,,,,,,,,,,,,
10ZJHYWpS8O-ZhwmvfuxvtSrWJlugeotl,cut_VID_20240210_12.03.04.mp4_358.mp4,YourPerforming,,,,,,,,,,,,,,,,
1nKEFlFr8FoMcuNqmCXmwJlbNeQNGzu-s,cut_VID_20220120_14.28.25.mp4_7608.mp4,41012013-2,,,,,,,,,,,,,,,,
1TUxVt2VqCuhte9GZymyEbyJ3tgUdHqDo,cut_VID_20220129_14.26.34.mp4_18214.mp4,54012913-1,,,,,,,,,,,,,,,,
1hj2G8OzIKCLUyAKzJx37I8lEm2B2eHln,cut_VID_20220210_19.14.32_2nd_trial.mp4_206.mp4,60021019-3,,,,,,,,,,,,,,,,
1LWVUL7o8ynkcVDdlx_tHUUDkw5f1j_Qp,cut_VID_20220307_19.38.01.mp4_5410.mp4,94030717-2,,,,,,,,,,,,,,,,
1dTdDrqqCPt9a8oIM5Tj6fOG2_Rldv2dq,cut_VID_20220105_13.16.54.mp4_1106.mp4,02010513-2,,,,,,,,,,,,,,,,
1e3N42eCrTxxZKLRIEDlwjT8nzKJudYoV,cut_VID_20220105_13.54.41.mp4_7990.mp4,02010513-2,,,,,,,,,,,,,,,,
1fTBqOPchGozFAdDqy-hvTN2C8dfA_p8c,cut_VID_20220106_10.07.59.mp4_4536.mp4,03010609-1,,,,,,,,,,,,,,,,
1fbDSXIL4UpNhKezFL8cdh_e5ISmniKKP,cut_VID_20220106_10.07.59.mp4_936.mp4,03010609-1,,,,,,,,,,,,,,,,
1i1ht84-_gOxiurfZrHV8ud7EylRwJY3C,cut_VID_20220106_13.35.47.mp4_7842.mp4,04010613-2,,,,,,,,,,,,,,,,
1ij7E5nZ9EdPsEJFm5bSF8LL_mfky94Gw,cut_VID_20220106_14.28.31.mp4_19656.mp4,04010613-2,,,,,,,,,,,,,,,,
1s4_D9DdPxMQWB9eFJZH4ibSrbiD7Btnr,cut_VID_20220107_11.35.13.mp4_340.mp4,05010711-1,,,,,,,,,,,,,,,,
1f0HL2TxX74leaJi9DD8aspVN8SdK1e6V,cut_VID_20220107_11.46.01.mp4_842.mp4,05010711-1,,,,,,,,,,,,,,,,
1u7MZPjeIZ-tM0Z5pEbGize1FSegLiFGd,cut_VID_20220107_12.18.18.mp4_11570.mp4,05010711-1,,,,,,,,,,,,,,,,
1gdFXSUCwZL_FOzuXgtVXwGBECLTdke7N,cut_VID_20220107_14.10.24.mp4_8292.mp4,06010713-2,,,,,,,,,,,,,,,,
1h0dlrhfO5W1ygXPwPsvph32ZjHLRcNXZ,cut_VID_20220107_14.36.40.mp4_11592.mp4,06010713-2,,,,,,,,,,,,,,,,
1h7E_YSOafox8Y86T8CpCB-Ndnv19xAew,cut_VID_20220107_14.36.40.mp4_15192.mp4,06010713-2,,,,,,,,,,,,,,,,
10v2LLQcEa6d0SOk-WlsQalrV_y_3siC6,cut_VID_20220107_15.07.55.mp4_9884.mp4,07010715-2,,,,,,,,,,,,,,,,
1H8AgWOEUEfeZo_poDoDi1gnLTaHjls2A,cut_VID_20220107_15.45.09.mp4_1474.mp4,07010715-2,,,,,,,,,,,,,,,,
1llhJx9mQjtCFJk4144ikDD--yYHD1UDt,cut_VID_20220108_09.16.14.mp4_7354.mp4,09010809-1,,,,,,,,,,,,,,,,
1mA8kxwpOSS25jngsi-hNxN5QrbvrLibg,cut_VID_20220108_09.53.05.mp4_6198.mp4,09010809-1,,,,,,,,,,,,,,,,
1mIYCKaRSzDaeVZOhkqqQQT69ZaNyJRtf,cut_VID_20220108_10.06.02.mp4_7572.mp4,09010809-1,,,,,,,,,,,,,,,,
1QGWAf36YDU_KVm6lG9_X9U9YNlDIJ9pq,cut_VID_20220108_11.57.09.mp4_8072.mp4,10010811-2,,,,,,,,,,,,,,,,
1jbZ6FbPsB4jeqtMUDxgniFib1zxSfSbq,cut_VID_20220108_15.30.03.mp4_5586.mp4,11010815-1,,,,,,,,,,,,,,,,
1kG4KX6v_PYNuZQzMsbxTjrK1g_vB8X0n,cut_VID_20220108_16.20.55.mp4_30758.mp4,11010815-1,,,,,,,,,,,,,,,,
1lLj610cqSYxnSCXr--UVWgGZ1PdwsMOf,cut_VID_20220108_18.34.54.mp4_10801.mp4,12010817-2,,,,,,,,,,,,,,,,
1laZDBTpS61KLSMgea1gG4tDIn9QlBE4p,cut_VID_20220108_18.34.54.mp4_18001.mp4,12010817-2,,,,,,,,,,,,,,,,
11fhLnhg3tx3gGGOFCO8_i65hyx2wABe6,cut_VID_20220109_11.01.49_5th_trial.mp4_114.mp4,14010911-3,,,,,,,,,,,,,,,,
1xQlMh_Mv8zc6O-k0GuuOGlmufNskGPzI,cut_VID_20220109_11.53.43.mp4_23264.mp4,14010911-3,,,,,,,,,,,,,,,,
1S3NafGJzfcuDEMOTUpOigF_ANtfO2HfP,cut_VID_20220109_17.13.01_1st_trial.mp4_5178.mp4,17010917-3,,,,,,,,,,,,,,,,
1P3sdbtyDAOyAeeJxyXRt4Dgnxzl9G-2j,cut_VID_20220109_17.13.01_5th_trial.mp4_56.mp4,17010917-3,,,,,,,,,,,,,,,,
1-f8kknVdsrMlZX6386eJbGwr1uskth5a,cut_VID_20220109_17.55.09.mp4_22062.mp4,17010917-3,,,,,,,,,,,,,,,,
1oDmRZObxGw-SQaqqvcV-HAAptWbvkw3s,cut_VID_20220111_15.51.53.mp4_8038.mp4,23011115-1,,,,,,,,,,,,,,,,
1Crh9imhP3FaksboasCAP5nMRueMDnIrt,cut_VID_20220111_15.51.53.mp4_838.mp4,23011115-1,,,,,,,,,,,,,,,,
13rfuExrzrsLRrIBIocGm98H5xz0YZPaj,cut_VID_20220111_16.15.55.mp4_7246.mp4,23011115-1,,,,,,,,,,,,,,,,
1pE39r4J-KYtY973K-SDcVpWHdzlE9NAi,cut_VID_20220112_15.28.30.mp4_3852.mp4,25011215-2,,,,,,,,,,,,,,,,
1pPkLUHb19B4pnied-L0M83M92noBL3EV,cut_VID_20220112_15.40.13.mp4_1308.mp4,25011215-2,,,,,,,,,,,,,,,,
1hAnsF6PyHq9RqUvdBPzwOMd125g3dJup,cut_VID_20220113_11.32.23.mp4_6052.mp4,26011311-2,,,,,,,,,,,,,,,,
1PNUjkeSbvvGuIKSED9gu713MeBsmmOFO,cut_VID_20220113_12.25.21.mp4_2882.mp4,26011311-2,,,,,,,,,,,,,,,,
1qTnBCvhpHCdn-KwccpdA4CZoAvTurE2q,cut_VID_20220113_15.21.46.mp4_8348.mp4,27011315-1,,,,,,,,,,,,,,,,
1quMtltoTpH_qj7kIGuzLwgDI6B7qfqiJ,cut_VID_20220113_15.52.04.mp4_290.mp4,27011315-1,,,,,,,,,,,,,,,,
1qx0J8GtesaZhRYWRUcaJXMZN7JXGxd6v,cut_VID_20220113_16.02.38.mp4_12114.mp4,27011315-1,,,,,,,,,,,,,,,,
1rwCKUJ7f5iXuwGO758qbcx3yE43AIVvz,cut_VID_20220113_17.48.52_2nd_trial.mp4_54.mp4,28011317-3,,,,,,,,,,,,,,,,
1s3YSJhtCsh3m2RRRiYRm5n2hhw7ulhY5,cut_VID_20220113_17.48.52_4th_trial.mp4_128.mp4,28011317-3,,,,,,,,,,,,,,,,
1nZGQ-xltpZ6jU5NshF4D77ZZ5aBvvkG2,cut_VID_20220113_19.18.38_2nd_trial.mp4_7466.mp4,29011319-3,,,,,,,,,,,,,,,,
1oVINfrw49OebiLSQlT0NxgGzWOpWcDGT,cut_VID_20220113_20.13.03.mp4_15022.mp4,29011319-3,,,,,,,,,,,,,,,,
1Rbfyuxo18iWhBedid5PKtnyOn7avlu_9,cut_VID_20220115_14.00.58.mp4_8230.mp4,33011513-2,,,,,,,,,,,,,,,,
1RnNuCdvxDWUv8q7Y9PDUpckwJJ05Nifx,cut_VID_20220115_14.22.48.mp4_13320.mp4,33011513-2,,,,,,,,,,,,,,,,
1ZKoLNEKZVI--cLFIcOUlwJVbEb37Dx5G,cut_VID_20220116_09.14.32.mp4_5022.mp4,35011609-1,,,,,,,,,,,,,,,,
1BJDlR1O7wQZq4Msj27104v_58FlqDHyV,cut_VID_20220116_10.06.31.mp4_18228.mp4,35011609-1,,,,,,,,,,,,,,,,
1twlNcs_OFFpGJzD8XMvVbCeYGrXwg8tN,cut_VID_20220116_15.18.33_1st_trial.mp4_7468.mp4,37011615-3,,,,,,,,,,,,,,,,
1tlcUFXV7lmqcgx6lyowTKjMfpW6_vZ6p,cut_VID_20220116_15.18.33_2nd_trial.mp4_346.mp4,37011615-3,,,,,,,,,,,,,,,,
1vNCneTPIl6CurtjOB5OVoy8I9dYaWQub,cut_VID_20220117_13.18.23.mp4_5092.mp4,38011713-2,,,,,,,,,,,,,,,,
1wAVNvsKv0wYzNaK8bV7sw_HAmGrCChe9,cut_VID_20220117_13.54.16.mp4_5652.mp4,38011713-2,,,,,,,,,,,,,,,,
1xlqanZPp0b0jUBGq3CNUoPlNh5sL6wfa,cut_VID_20220117_20.08.53.mp4_14780.mp4,39011719-1,,,,,,,,,,,,,,,,
1xzmiKVTcRdTi4buFeEDISQoyowBSYTYl,cut_VID_20220117_20.08.53.mp4_380.mp4,39011719-1,,,,,,,,,,,,,,,,
1yHjAVFtTGhLwRmDezMNIrbxfEMI1jJvC,cut_VID_20220117_20.08.53.mp4_3980.mp4,39011719-1,,,,,,,,,,,,,,,,
1yijs0IL2oFtnQH6IM3LPRaGPMHqRrPBq,cut_VID_20220120_11.25.02.mp4_410.mp4,40012011-1,,,,,,,,,,,,,,,,
1z9ZPsR9lxdjZfR1ZpyJCixxL15y4hppD,cut_VID_20220120_11.46.06.mp4_7662.mp4,40012011-1,,,,,,,,,,,,,,,,
1zR1vYuiPclyOttKlr_39Z5KEYXabr5Xy,cut_VID_20220120_12.06.51.mp4_11348.mp4,40012011-1,,,,,,,,,,,,,,,,
